2026-06-27 19:22:06 - USD: $60,411.00, EUR: €53,041.00, NGN: ₦83,133,293.00
2026-06-27 19:22:35 - USD: $60,411.00, EUR: €53,041.00, NGN: ₦83,133,293.00
2026-06-27 19:22:46 - USD: $60,411.00, EUR: €53,041.00, NGN: ₦83,133,293.00
2026-06-27 19:22:55 - USD: $60,411.00, EUR: €53,041.00, NGN: ₦83,133,293.00
2026-06-27 20:32:14 - USD: $60,050.61, EUR: €55,246.57, NGN: ₦90,075,922.50
2026-06-27 20:32:26 - USD: $60,043.32, EUR: €55,239.85, NGN: ₦90,064,972.50
2026-06-27 20:32:38 - USD: $60,061.68, EUR: €55,256.74, NGN: ₦90,092,512.50
2026-06-27 20:32:49 - USD: $60,039.15, EUR: €55,236.02, NGN: ₦90,058,732.50
2026-06-27 20:33:01 - USD: $60,061.39, EUR: €55,256.48, NGN: ₦90,092,085.00
2026-06-27 20:33:12 - USD: $60,076.97, EUR: €55,270.82, NGN: ₦90,115,462.50
2026-06-27 20:33:24 - USD: $60,070.86, EUR: €55,265.20, NGN: ₦90,106,297.50
2026-06-27 20:33:36 - USD: $60,070.40, EUR: €55,264.77, NGN: ₦90,105,607.50
2026-06-27 20:33:47 - USD: $60,067.79, EUR: €55,262.37, NGN: ₦90,101,692.50
2026-06-27 20:34:01 - USD: $60,078.75, EUR: €55,272.45, NGN: ₦90,118,117.50
2026-06-27 20:34:12 - USD: $60,072.82, EUR: €55,266.99, NGN: ₦90,109,222.50
2026-06-27 20:34:23 - USD: $60,086.15, EUR: €55,279.26, NGN: ₦90,129,232.50
2026-06-27 20:34:37 - USD: $60,083.18, EUR: €55,276.53, NGN: ₦90,124,777.50
2026-06-27 20:45:56 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:46:12 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:46:28 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:46:41 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:46:54 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:47:08 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:47:21 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:47:37 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:47:50 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:48:07 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:48:21 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:48:34 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:48:47 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:49:01 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:49:15 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:49:28 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:49:41 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:49:55 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:50:09 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:50:26 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:50:40 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:50:53 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:51:06 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:51:19 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:51:32 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:51:46 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:52:00 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:52:13 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:52:27 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:52:41 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:52:55 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:53:08 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:53:22 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:53:37 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:53:50 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:54:03 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:54:20 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:54:37 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:54:53 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:55:07 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:55:23 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:55:40 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:55:53 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:56:07 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:56:20 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:56:34 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:56:47 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:57:03 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:57:17 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:57:30 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:57:44 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:57:57 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:58:11 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:58:25 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:58:39 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:58:52 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:59:06 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:59:25 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:59:39 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 20:59:53 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:00:08 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:00:21 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:00:35 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:00:50 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:01:04 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:01:23 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:01:38 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:01:52 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:02:06 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:02:28 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:02:41 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
2026-06-27 21:02:55 - USD: $60,000.00, EUR: €55,200.00, NGN: ₦90,000,000.00
